Rank,Title
1,WalMart Stores Inc.
2,Exxon Mobil Corporation
3,Chevron Corporation
4,ConocoPhillips
5,Fannie Mae
6,General Electric Company
7,Berkshire Hathaway Inc.
8,General Motors Corporation
9,Bank of America Corporation
10,Ford Motor Company
11,Hewlett-Packard Company
12,AT&T Inc.
13,J.P. Morgan Chase & Co.
14,Citigroup Inc.
15,McKesson Corporation
16,Verizon Communications Inc.
17,American International GroupInc.
18,International Business Machines Corporation
19,Cardinal Health Inc.
20,Freddie Mac
21,CVS Caremark Corporation
22,UnitedHealth Group Incorporated
23,Wells Fargo & Company
24,Valero Energy Corporation
25,The Kroger Company
26,The Procter & Gamble Company
27,AmerisourceBergen Corp.
28,Costco Wholesale Corporation
29,Marathon Oil Corporation
30,The Home Depot Inc.
31,Pfizer Inc.
32,Walgreen Co.
33,Target Corporation
34,Medco Health Solutions Inc.
35,Apple Inc.
36,The Boeing Company
37,State Farm Insurance Cos.
38,Microsoft Corporation
39,Archer-Daniels-Midland Company
40,Johnson & Johnson
41,Dell Inc.
42,WellPoint Inc.
43,PepsiCo Inc.
44,United Technologies Corporation
45,The Dow Chemical Company
46,MetLife Inc.
47,Best Buy Co. Inc.
48,United Parcel Service Inc.
49,Kraft Foods Inc.
50,Lowe’s Companies Inc.
51,INTL FCStone Inc.
52,Lockheed Martin Corporation
53,Merck & Co. Inc.
54,The Goldman Sachs Group Inc.
55,Express Scripts Inc.
56,Intel Corporation
57,Sears Holdings Corporation
58,Caterpillar Inc.
59,Chrysler Group LLC
60,Safeway Inc.
61,Supervalu Inc.
62,Cisco Systems Inc.
63,Morgan Stanley
64,Prudential Financial Inc.
65,The Walt Disney Company
66,Comcast Corporation
67,Sysco Corporation
68,Sunoco Inc.
69,Abbott Laboratories
70,The Coca-Cola Company
71,New York Life Insurance Company
72,Northrop Grumman Corporation
73,FedEx Corporation
74,Hess Corporation
75,Ingram Micro Inc.
76,Johnson Controls Inc.
77,Aetna Inc.
78,Amazon.com Inc.
79,Humana Inc.
80,Enterprise Products Partners L.P.
81,Honeywell International Inc.
82,Liberty Mutual Holding Company Inc.
83,News Corporation
84,E.I. du Pont de Nemours and Company
85,Sprint Nextel Corporation
86,General Dynamics Corporation
87,Teachers Insurance and Annuity Association College Retiremen
88,Delta Air Lines Inc.
89,The Allstate Corporation
90,HCA Holdings Inc.
91,American Express Company
92,Google Inc.
93,Tyson Foods Inc.
94,Philip Morris International Inc.
95,Time Warner Inc.
96,Oracle Corporation
97,3M Company
98,Deere & Company
99,Plains All American Pipeline L.P.
100,Rite Aid Corporation
101,Massachusetts Financial Group
102,Publix Super Markets Inc.
103,CHS Inc.
104,Raytheon Company
105,International Paper Company
106,The Travelers Companies Inc.
107,Macy’s Inc.
108,Staples Inc.
109,Tech Data Corporation
110,DIRECTV
111,McDonald’s Corporation
112,Northwestern Mutual Life Insurance Company
113,Murphy Oil Corporation
114,United Continental Holdings Inc.
115,Eli Lilly and Company
116,Motorola Solutions Inc.
117,The Hartford Financial Services Group Inc.
118,AMR Corporation
119,The TJX Companies Inc.
120,Emerson Electric Co.
121,Xerox Corporation
122,CIGNA Corporation
123,Alcoa Inc.
124,Fluor Corporation
125,Aflac Incorporated
126,U.S. Bancorp
127,Nationwide Mutual Insurance Co.
128,Tesoro Corporation
129,Occidental Petroleum Corporation
130,Kimberly-Clark Corporation
131,Bristol-Myers Squibb Company
132,Avnet Inc.
133,World Fuel Services Corporation
134,Capital One Financial Corporation
135,Nike Inc.
136,Freeport-McMoRan Copper & Gold Inc.
137,Time Warner Cable Inc.
138,Manpower Inc.
139,The Goodyear Tire & Rubber Company
140,Arrow Electronics Inc
141,Exelon Corporation
141,Kohl’s Corporation
143,Whirlpool Corporation
144,Halliburton Company
145,United Services Automobile Association
146,J.C. Penney Company Inc.
147,The Southern Company
148,United States Steel Corporation
149,Ally Financial Inc.
150,The AES Corporation
151,The PNC Financial Services Group Inc.
152,EMC Corporation
153,Union Pacific Corporation
154,Altria Group Inc.
155,Computer Sciences Corporation
156,Illinois Tool Works Inc.
157,Nucor Corporation
158,Medtronic Inc.
159,L-3 Communications Holdings Inc.
160,Colgate-Palmolive Company
161,NextEra Energy Inc.
162,Dominion Resources Inc.
163,Amgen Inc.
164,The Progressive Corporation
165,The Bank of New York Mellon Corporation
166,General Mills Inc.
167,The Gap Inc.
168,Loews Corporation
169,American Electric Power Company Inc.
170,Baker Hughes Incorporated
171,TRW Automotive Holdings Corp.
172,Constellation Energy Group Inc.
173,Duke Energy Corporation
174,CBS Corporation
175,Texas Instruments Incorporated
176,Toys “R” Us Inc.
177,PG&E Corporation
178,Eaton Corporation
179,Health Net Inc.
180,Viacom Inc.
181,PPG Industries Inc.
182,Jabil Circuit Inc.
183,FirstEnergy Corp.
184,Consolidated Edison Inc.
185,The Chubb Corporation
186,Cummins Inc.
187,Danaher Corporation
188,Dollar General Corporation
189,Oneok Inc.
190,Community Health Systems Inc.
191,Sara Lee Corporation
192,Baxter International Inc.
193,DISH Network Corporation
194,Aramark Corporation
195,Omnicom Group Inc.
196,Waste Management Inc.
197,AutoNation Inc.
198,Edison International
199,Kellogg Company
200,ConAgra Foods Inc.
201,Public Service Enterprise Group Inc.
202,National Oilwell Varco Inc.
203,Dean Foods Company
204,Navistar International Corporation
205,Southwest Airlines Co.
206,Apache Corporation
207,Lear Corporation
208,US Airways Group Inc.
209,Qwest Communications International Inc.
210,Marriott International Inc.
211,Office Depot Inc.
212,Coventry Health Care Inc.
213,Entergy Corporation
214,Yum! Brands Inc.
215,Genuine Parts Company
216,Smithfield Foods Inc.
217,ITT Corporation
218,Land O’Lakes Inc.
219,SAIC Inc.
220,BB&T Corporation
221,BJ’s Wholesale Club Inc.
222,Qualcomm Incorporated
223,Anadarko Petroleum Corporation
224,Liberty Media Corporation
225,Marsh & McLennan Companies Inc.
226,Avon Products Inc.
227,Thermo Fisher Scientific Inc.
228,Penske Automotive Group Inc.
229,Starbucks Corporation
230,CSX Corporation
231,Devon Energy Corporation
232,H.J. Heinz Company
233,Textron Inc.
234,Monsanto Company
235,Lincoln National Corporation
236,First Data Corporation
237,Xcel Energy Inc.
238,PACCAR Inc
239,Unum Group
240,Progress Energy Inc.
241,Praxair Inc.
242,KBR Inc.
243,Genworth Financial  Inc.
244,SunTrust Banks Inc.
245,Guardian Life Ins. Co. of America
246,Ameriprise Financial Inc.
247,R.R. Donnelley & Sons Company
248,Parker-Hannifin Corporation
249,Peter Kiewit Sons’ Inc.
250,Jacobs Engineering Group Inc.
251,Western Digital Corporation
252,Oshkosh Corporation
253,State Street Corporation
254,Nordstrom Inc.
255,Liberty Global Inc.
256,KKR & Co. L.P.
257,The Williams Companies Inc.
258,Limited Brands Inc.
259,Applied Materials Inc.
260,Newmont Mining Corporation
261,Norfolk Southern Corporation
262,GameStop Corp.
263,Chesapeake Energy Corporation
264,Huntsman Corporation
265,C. H. Robinson Worldwide Inc.
266,Tenet Healthcare Corporation
267,URS Corporation
268,Principal Financial Group Inc.
269,eBay Inc.
270,Icahn Enterprises L.P.
271,Air Products & Chemicals Inc.
272,Ashland Inc.
273,Whole Foods Market Inc.
274,Sempra Energy
275,Automatic Data Processing Inc.
276,NRG Energy Inc.
277,Caesars Entertainment Corporation
278,The Great Atlantic & Pacific Tea Company Inc.
279,CenterPoint Energy Inc.
280,PPL Corporation
281,Synnex Corporation
282,BlackRock Inc.
283,DTE Energy Company
284,Reynolds American Inc.
285,Assurant Inc.
286,Aon Corporation
287,Micron Technology Inc.
288,Stanley Black & Decker
289,Holly Corporation
290,Reinsurance Group of America Inc.
291,Discover Financial Services
292,Energy Future Holdings Corp.
293,Regions Financial Corporation
294,Kinder Morgan Inc.
295,Owens & Minor Inc.
296,Republic Services Inc.
297,Visa Inc.
298,Western Refining Inc.
299,Gilead Sciences Inc.
300,Ball Corporation
301,Crown Holdings Inc.
302,Family Dollar Stores Inc.
303,Ross Stores Inc.
304,Bed Bath & Beyond Inc.
305,Boston Scientific Corporation
306,Global Partners LP
308,The Sherwin-Williams Company
309,Enbridge Energy Partners L.P.
310,V.F. Corporation
311,CarMax Inc.
312,Campbell Soup Company
313,Ameren Corporation
314,Masco Corporation
315,Hertz Global Holdings Inc.
316,Becton Dickinson and Company
317,Henry Schein Inc.
318,Thrivent Financial for Lutherans
319,Visteon Corporation
320,Quest Diagnostics Incorporated
321,Cablevision Systems Corporation
322,AutoZone Inc.
323,Stryker Corporation
324,Winn-Dixie Stores Inc.
325,Hormel Foods Corporation
326,Fifth Third Bancorp
327,Eastman Kodak Company
328,W.W. Grainger Inc.
329,Autoliv Inc.
330,OfficeMax Incorporated
331,Dover Corporation
332,Darden Restaurants Inc.
333,Charter Communications Inc.
334,CenturyLink Inc.
335,Pepco Holdings Inc.
336,The Shaw Group Inc.
337,Goodrich Corporation
338,Peabody Energy Corporation
339,Sonic Automotive Inc.
340,AGCO Corporation
341,Dole Food Company Inc.
342,Las Vegas Sands Corp.
343,Broadcom Corporation
344,SLM Corporation
345,Owens-Illinois Inc.
346,The Mosaic Company
347,Coca-Cola Enterprises Inc.
348,Eastman Chemical Company
349,Calpine Corporation
350,Corning Incorporated
351,Energy Transfer Equity L.P.
352,Fortune Brands Inc.
353,AECOM Technology Corporation
354,Weyerhaeuser Company
355,The Interpublic Group of Companies Inc.
356,Avery Dennison Corporation
357,Advanced Micro Devices Inc.
358,American Family Ins. Group
359,DaVita Inc.
360,CMS Energy Corporation
361,Commercial Metals Company
362,NiSource Inc.
363,The Pantry Inc.
364,CIT Group Inc.
365,Yahoo! Inc.
366,Sanmina-SCI Corporation
367,Reliance Steel & Aluminum Co.
368,Steel Dynamics Inc.
369,Smurfit-Stone Container Corporation
370,Dillard’s Inc.
371,Omnicare Inc.
372,The McGraw-Hill Companies Inc.
373,MeadWestvaco Corporation
374,Virgin Media Inc.
375,Cameron International Corporation
376,Dana Holding Corporation
377,EOG Resources Inc.
378,Ecolab Inc.
379,Jarden Corporation
380,MGM Resorts International
381,Spectrum Group International Inc.
382,Symantec Corporation
383,AK Steel Holding Corporation
384,Expeditors International of Washington Inc.
385,TravelCenters of America LLC
386,Tenneco Inc.
387,Advance Auto Parts Inc.
388,Celanese Corporation
389,Frontier Oil Corporation
390,Dollar Tree Inc.
391,CC Media Holdings Inc.
392,Mattel Inc.
393,Franklin Resources Inc.
394,Domtar Corporation
395,Barnes & Noble Inc.
396,AMERIGROUP Corporation
397,Newell Rubbermaid Inc.
398,Fidelity National Financial Inc.
399,Mutual of Omaha Insurance Companies
400,PetSmart Inc.
401,Universal American Corp.
402,The Hershey Company
403,BorgWarner Inc.
404,Dr Pepper Snapple Group Inc.
405,Pacific Life
406,NII Holdings Inc.
407,UGI Corporation
408,Universal Health Services Inc.
409,Precision Castparts Corp.
410,MasterCard Incorporated
411,The Clorox Company
412,Core-Mark Holding Company Inc.
413,Group 1 Automotive Inc.
414,Anixter International Inc.
415,Gannett Co. Inc.
416,Targa Resources Corporation
417,KeyCorp
418,Mylan Inc.
419,Agilent Technologies Inc.
420,WellCare Health Plans Inc.
421,Pitney Bowes Inc.
422,CH2M HILL Companies Ltd.
423,The Lubrizol Corporation
424,O’Reilly Automotive Inc.
425,Auto-Owners Insurance Group
426,Fidelity National Information Services Inc.
427,Mohawk Industries Inc.
428,CONSOL Energy Inc.
429,Harris Corporation
430,Integrys Energy Group Inc.
431,The Western Union Company
432,Avis Budget Group Inc.
433,Momentive Specialty Chemicals Inc.
434,SunGard Data Systems Inc.
435,Health Management Associates Inc.
436,St. Jude Medical Inc.
437,Ryder System Inc.
438,Booz Allen Hamilton Holding Corp.
439,EMCOR Group Inc.
440,CB Richard Ellis Group Inc.
441,Spectra Energy Corp
442,Starwood Hotels & Resorts Worldwide Inc.
443,WESCO International Inc.
444,Live Nation Entertainment Inc.
445,Avaya Inc.
446,Foot Locker Inc.
447,Laboratory Corporation of America Holdings
448,Owens Corning
449,Nash-Finch Company
450,Telephone and Data Systems Inc.
451,Polo Ralph Lauren Corporation
452,Apollo Group Inc.
453,Big Lots Inc.
454,Con-way Inc.
455,Kelly Services Inc.
456,Western & Southern Mutual Holding Company
457,Allergan Inc.
458,Harley-Davidson Inc.
459,Northeast Utilities
460,SPX Corporation
461,Erie Insurance Group
462,Bemis Company Inc.
463,Meritor Inc.
464,Dick’s Sporting Goods Inc.
465,General Cable Corporation
466,Rockwell Automation Inc.
467,United Stationers Inc.
468,SanDisk Corporation
469,NCR Corporation
470,The Washington Post Company
471,Insight Enterprises Inc.
