Rank,Title
1,WalMart Stores Inc.
2,Exxon Mobil Corporation
3,Chevron Corporation
4,General Electric Company
5,Bank of America Corporation
6,ConocoPhillips
7,AT&T Inc.
8,Ford Motor Company
9,J.P. Morgan Chase & Co.
10,Hewlett-Packard Company
11,Berkshire Hathaway Inc.
12,Citigroup Inc.
13,Verizon Communications Inc.
14,McKesson Corporation
15,General Motors Corporation
16,American International GroupInc.
17,Cardinal Health Inc.
18,CVS Caremark Corporation
19,Wells Fargo & Company
20,International Business Machines Corporation
21,UnitedHealth Group Incorporated
22,The Procter & Gamble Company
23,The Kroger Company
24,AmerisourceBergen Corp.
25,Costco Wholesale Corporation
26,Valero Energy Corporation
27,Archer-Daniels-Midland Company
28,The Boeing Company
29,The Home Depot Inc.
30,Target Corporation
31,WellPoint Inc.
32,Walgreen Co.
33,Johnson & Johnson
34,State Farm Insurance Cos.
35,Medco Health Solutions Inc.
36,Microsoft Corporation
37,United Technologies Corporation
38,Dell Inc.
39,The Goldman Sachs Group Inc.
40,Pfizer Inc.
41,Marathon Oil Corporation
42,Lowe’s Companies Inc.
43,United Parcel Service Inc.
44,Lockheed Martin Corporation
45,Best Buy Co. Inc.
46,The Dow Chemical Company
47,Supervalu Inc.
48,Sears Holdings Corporation
49,International Assets Holding Corporation
50,PepsiCo Inc.
51,MetLife Inc.
52,Safeway Inc.
53,Kraft Foods Inc.
54,Freddie Mac
55,Sysco Corporation
56,Apple  Inc.
57,The Walt Disney Company
58,Cisco Systems Inc.
59,Comcast Corporation
60,FedEx Corporation
61,Northrop Grumman Corporation
62,Intel Corporation
63,Aetna Inc.
64,New York Life Insurance Company
65,Prudential Financial Inc.
66,Caterpillar Inc.
67,Sprint Nextel Corporation
68,The Allstate Corporation
69,General Dynamics Corporation
70,Morgan Stanley
71,Liberty Mutual Holding Company Inc.
72,The Coca-Cola Company
73,Humana Inc.
74,Honeywell International Inc.
75,Abbott Laboratories
76,News Corporation
77,HCA Inc
78,Sunoco Inc.
79,Hess Corporation
80,Ingram Micro Inc.
81,Fannie Mae
82,Time Warner Inc.
83,Johnson Controls Inc.
84,Delta Air Lines Inc.
85,Merck & Co. Inc.
86,E.I. du Pont de Nemours and Company
87,Tyson Foods Inc.
88,American Express Company
89,Rite Aid Corporation
90,Teachers Insurance and Annuity Association College Retiremen
91,CHS Inc.
92,Enterprise GP Holdings L.P.
93,Massachusetts Financial Group
94,Philip Morris International Inc.
95,Raytheon Company
96,Express Scripts Inc.
97,The Hartford Financial Services Group Inc.
98,The Travelers Companies Inc.
99,Publix Super Markets Inc.
100,Amazon.com Inc.
101,Staples Inc.
102,Google Inc.
103,Macy’s Inc.
104,International Paper Company
105,Oracle Corporation
106,3M Company
107,Deere & Company
108,McDonald’s Corporation
109,Tech Data Corporation
110,Motorola Inc.
111,Fluor Corporation
112,Eli Lilly and Company
113,Coca-Cola Enterprises Inc.
114,Bristol-Myers Squibb Company
115,Northwestern Mutual Life Insurance Company
116,The DirecTV Group Inc.
117,Emerson Electric Co.
118,Nationwide Mutual Insurance Co.
119,The TJX Companies Inc.
120,AMR Corporation
121,U.S. Bancorp
122,GMAC Inc.
123,The PNC Financial Services Group Inc.
124,Nike Inc.
125,Murphy Oil Corporation
126,Kimberly-Clark Corporation
127,Alcoa Inc.
128,Plains All American Pipeline L.P.
129,CIGNA Corporation
130,AFLAC Incorporated
131,Time Warner Cable Inc.
132,United Services Automobile Association
133,J.C. Penney Company Inc.
134,Exelon Corporation
135,Kohl’s Corporation
136,Whirlpool Corporation
137,Altria Group Inc.
138,Computer Sciences Corporation
139,Tesoro Corporation
140,UAL Corporation
141,The Goodyear Tire & Rubber Company
142,Avnet Inc.
143,Manpower Inc.
144,Capital One Financial Corporation
145,The Southern Company
146,Health Net Inc.
147,FPL Group Inc.
148,L-3 Communications Holdings Inc.
149,Constellation Energy Group Inc.
150,Occidental Petroleum Corporation
151,Colgate-Palmolive Company
152,Xerox Corporation
153,Dominion Resources Inc.
154,Freeport-McMoRan Copper & Gold Inc.
155,General Mills Inc.
156,The AES Corporation
157,Arrow Electronics Inc
158,Halliburton Company
159,Amgen Inc
160,Medtronic Inc.
161,The Progressive Corporation
162,The Gap Inc.
163,Smithfield Foods Inc.
164,Union Pacific Corporation
165,Loews Corporation
166,EMC Corporation
167,Burlington Northern Santa Fe Corp.
168,Coventry Health Care Inc.
169,Illinois Tool Works Inc.
170,Viacom Inc.
171,Toys “R” Us Inc.
172,American Electric Power Company Inc.
173,PG&E Corporation
174,The Pepsi Bottling Group Inc.
175,Consolidated Edison Inc.
176,The Chubb Corporation
177,CBS Corporation
178,ConAgra Foods Incorporated
179,FirstEnergy Corp.
180,Sara Lee Corporation
181,Duke Energy Corporation
182,National Oilwell Varco Inc.
183,Continental Airlines Inc.
184,Kellogg Company
185,Baxter International Inc.
186,Public Service Enterprise Group Inc.
187,Edison International
188,Qwest Communications International Inc.
189,Aramark Corporation
190,PPG Industries Inc.
191,Community Health Systems Inc.
192,Office Depot Inc.
193,KBR Inc.
194,Eaton Corporation
195,Dollar General Corporation
196,Waste Management Inc.
197,Monsanto Company
198,Omnicom Group Inc.
199,Jabil Circuit Inc.
200,DISH Network Corporation
201,TRW Automotive Holdings Corp.
202,Navistar International Corporation
203,Jacobs Engineering Group Inc.
204,Sun Microsystems Inc.
205,World Fuel Services Corporation
206,Nucor Corporation
207,Danaher Corporation
208,Dean Foods Company
209,Oneok Inc.
210,Liberty Global Inc.
211,United States Steel Corporation
212,Autonation Inc.
213,Marriott International Inc.
214,ITT Corporation
215,SAIC Inc.
216,Yum! Brands Inc.
217,BB&T Corporation
218,Cummins Inc.
219,Entergy Corporation
220,Textron Inc.
221,Marsh & McLennan Companies Inc.
222,US Airways Group Inc.
223,Texas Instruments Incorporated
224,SunTrust Banks Inc.
225,Qualcomm Inc.
226,Land O’Lakes Inc.
227,Liberty Media Corporation
228,Avon Products Inc.
229,Southwest Airlines Co.
230,Parker-Hannifin Corporation
231,The Mosaic Company
232,BJ’s Wholesale Club Inc.
233,H.J. Heinz Company
234,Thermo Fisher Scientific Inc.
235,Unum Group
236,Genuine Parts Company
237,Guardian Life Ins. Co. of America
238,Peter Kiewit Sons’ Inc.
239,Progress Energy Inc.
240,R.R. Donnelley & Sons Company
241,Starbucks Corporation
242,Lear Corporation
243,Baker Hughes Incorporated
244,Xcel Energy Inc.
245,Penske Automotive Group Inc.
246,Energy Future Holdings Corp.
247,The Great Atlantic & Pacific Tea Company Inc.
248,Fifth Third Bancorp
249,State Street Corporation
250,First Data Corporation
251,Pepco Holdings Inc.
252,URS Corporation
253,Tenet Healthcare Corporation
254,Regions Financial Corporation
255,GameStop Corp.
256,Lincoln National Corporation
257,Genworth Financial  Inc.
258,XTO Energy Inc.
259,CSX Corporation
260,Anadarko Petroleum Corp.
261,Devon Energy Corporation
262,Praxair Inc.
263,NRG Energy Inc.
264,Harrah’s Entertainment Inc.
265,Automatic Data Processing Inc.
266,Principal Financial Group Inc.
267,eBay Inc.
268,Assurant Inc.
269,Limited Brands Inc.
270,Nordstrom Inc.
271,Apache Corporation
272,Reynolds American Inc.
273,Air Products & Chemicals Inc.
274,The Bank of New York Mellon Corporation
275,CenterPoint Energy Inc.
276,The Williams Companies Inc.
277,Smith International Inc.
278,Republic Services Inc.
279,Boston Scientific Corporation
280,Sempra Energy
280,Ashland Inc.
282,PACCAR Inc
283,Owens & Minor Inc.
284,Whole Foods Market Inc.
285,DTE Energy Company
286,Discover Financial Services
287,Norfolk Southern Corporation
288,Ameriprise Financial Inc.
289,Crown Holdings Inc.
290,Icahn Enterprises L.P.
291,Masco Corporation
292,Cablevision Systems Corporation
293,Huntsman Corporation
294,Synnex Corporation
295,Newmont Mining Corporation
296,Chesapeake Energy Corporation
297,Eastman Kodak Company
298,Aon Corporation
299,Campbell Soup Co.
300,PPL Corporation
301,C. H. Robinson Worldwide Inc.
302,Integrys Energy Group Inc.
303,Quest Diagnostics Incorporated
304,Western Digital Corporation
305,Family Dollar Stores Inc.
306,Winn-Dixie Stores Inc.
307,Ball Corporation
308,Estee Lauder
309,The Shaw Group Inc.
310,V.F. Corporation
311,Darden Restaurants Inc.
312,Becton Dickinson and Company
313,OfficeMax Incorporated
314,Bed Bath & Beyond Inc.
315,Kinder Morgan Inc.
316,Ross Stores Inc.
317,Pilgrim’s Pride Corporation
318,Hertz Global Holdings Inc.
319,The Sherwin-Williams Company
320,Ameren Corporation
321,Reinsurance Group of America Inc.
322,Owens-Illinois Inc.
323,CarMax Inc.
324,Gilead Sciences Inc.
325,Precision Castparts Corporation
326,Visa Inc.
327,Commercial Metals Company
328,WellCare Health Plans Inc.
329,AutoZone Inc.
330,Western Refining Inc.
331,Dole Food Company Inc.
332,Charter Communications Inc.
333,Stryker Corporation
334,Goodrich Corporation
335,Visteon Corporation
336,NiSource Inc.
337,AGCO Corporation
338,Calpine Corporation
339,Henry Schein Inc.
340,Hormel Foods Corporation
341,Affiliated Computer Services Inc.
342,Thrivent Financial for Lutherans
343,Yahoo! Inc.
344,American Family Ins. Group
345,Sonic Automotive Inc.
346,Peabody Energy Corporation
347,Omnicare Inc.
348,Dillard’s Inc.
349,W.W. Grainger Inc.
350,CMS Energy Corporation
351,Fortune Brands Inc.
352,AECOM Technology Corporation
353,Symantec Corporation
354,SLM Corporation
355,DaVita Inc.
356,KeyCorp
357,MeadWestvaco Corporation
358,The Interpublic Group of Companies Inc.
359,Virgin Media Inc.
360,MGM MIRAGE
361,The First American Corporation
362,Avery Dennison Corporation
363,The McGraw-Hill Companies Inc.
364,Enbridge Energy Partners L.P.
365,Ecolab Inc.
366,Fidelity National Financial Inc.
367,Dover Corporation
368,Global Partners LP
369,UGI Corporation
370,Gannett Co. Inc.
371,Harris Corporation
372,Barnes & Noble Inc.
373,Newell Rubbermaid Inc.
374,Smurfit-Stone Container Corporation
375,Pitney Bowes Inc.
376,CC Media Holdings Inc.
377,Emcor Group Inc.
378,Dr Pepper Snapple Group Inc.
379,Weyerhaeuser Company
380,SunGard Data Systems Inc.
381,CH2M Hill Companies Ltd.
382,The Pantry Inc.
383,Domtar Corporation
384,The Clorox Company
385,Northeast Utilities
386,Oshkosh Corporation
387,Mattel Inc.
388,Energy Transfer Equity L.P.
389,Advance Auto Parts Inc.
390,Advanced Micro Devices Inc.
391,Corning Inc.
392,Mohawk Industries Inc.
393,PetSmart Inc.
394,Reliance Steel & Aluminum Co.
395,The Hershey Company
396,YRC Worldwide Inc.
397,Dollar Tree Inc.
398,Dana Holding Corporation
399,Cameron International Corporation
400,Nash-Finch Company
401,Pacific Life
402,Terex Corporation
403,Universal Health Services Inc.
404,Amerigroup Corporation
405,Sanmina-SCI Corporation
406,Jarden Corporation
407,Tutor Perini Corp.
408,Mutual of Omaha Insurance Companies
409,Avis Budget Group Inc.
410,Autoliv Inc.
411,MasterCard Incorporated
412,Mylan Inc.
413,The Western Union Company
414,Celanese Corporation
415,Eastman Chemical Company
416,Telephone and Data Systems Inc.
417,Polo Ralph Lauren Corporation
418,Auto-Owners Insurance Group
419,Core-Mark Holding Company Inc.
420,Western & Southern Mutual Holding Company
421,Applied Materials Inc.
422,Anixter International Inc.
423,CenturyTel Inc.
424,Atmos Energy Corporation
425,Universal American Corp.
426,Ryder System Inc.
427,SPX Corporation
428,Foot Locker Inc.
429,O’Reilly Automotive Inc.
430,Harley-Davidson Inc.
431,Holly Corporation
432,Owens Corning
432,Micron Technology Inc.
434,EOG Resources Inc
435,The Black & Decker Corporation
436,Big Lots Inc.
437,Spectra Energy Corp
438,Starwood Hotels & Resorts Worldwide Inc.
439,United Stationers Inc.
440,TravelCenters of America LLC
441,BlackRock Inc.
442,Laboratory Corporation of America Holdings
443,Health Management Associates Inc.
444,NYSE Euronext
445,St. Jude Medical Inc.
446,Tenneco Inc.
447,El Paso Corporation
448,WESCO International Inc.
449,Consol Energy Inc.
450,ArvinMeritor Inc.
451,NCR Corporation
452,Unisys Corporation
453,The Lubrizol Corporation
454,Alliant Techsystems Inc.
455,The Washington Post Company
456,Las Vegas Sands Corp.
457,Group 1 Automotive Inc.
458,Genzyme Corporation
459,Allergan Inc.
460,Broadcom Corporation
461,Agilent Technologies Inc.
462,Rockwell Collins Inc.
463,W.R. Berkley Corporation
464,PepsiAmericas Inc.
465,The Charles Schwab Corporation
466,Dick’s Sporting Goods Inc.
467,FMC Technologies Inc.
468,NII Holdings Inc.
469,General Cable Corporation
470,Graybar Electric Company Inc.
471,Biogen Idec Inc.
