Rank,Title,
1,Exxon Mobil Corporation,
2,WalMart Stores Inc.,
3,Chevron Corporation,
4,ConocoPhillips,
5,General Motors Company,
6,General Electric Company,
7,Berkshire Hathaway Inc.,
8,Fannie Mae,
9,Ford Motor Company,
10,Hewlett-Packard Company,
11,AT&T Inc.,
12,Valero Energy Corporation,
13,Bank of America Corporation,
14,McKesson Corporation,
15,Verizon Communications Inc.,
16,J.P. Morgan Chase & Co.,
17,Apple Inc.,
18,CVS Caremark Corporation,
19,International Business Machines Corporation,
20,Citigroup Inc.,
21,Cardinal Health Inc.,
22,UnitedHealth Group Incorporated,
23,The Kroger Company,
24,Costco Wholesale Corporation,
25,Freddie Mac,
26,Wells Fargo & Company,
27,The Procter & Gamble Company,
28,Archer-Daniels-Midland Company,
29,AmerisourceBergen Corp.,
30,INTL FCStone Inc.,
31,Marathon Petroleum Corporation,
32,Walgreen Co.,
33,American International Group Inc.,
34,MetLife, Inc.
35,The Home Depot Inc.,
36,Medco Health Solutions Inc.,
37,Microsoft Corporation,
38,Target Corporation,
39,The Boeing Company,
40,Pfizer Inc.,
41,PepsiCo, Inc.
42,Johnson & Johnson,
43,State Farm Insurance Cos.,
44,Dell Inc.,
45,WellPoint Inc.,
46,Caterpillar Inc.,
47,The Dow Chemical Company,
48,United Technologies Corporation,
49,Comcast Corporation,
50,Kraft Foods Inc.,
51,Intel Corporation,
52,United Parcel Service Inc.,
53,Best Buy Co. Inc.,
54,Lowe’s Companies Inc.,
55,Prudential Financial Inc.,
56,Amazon.com Inc.,
57,Merck & Co. Inc.,
58,Lockheed Martin Corporation,
59,The Coca-Cola Company,
60,Express Scripts Holding Company,
61,Sunoco Inc.,
62,Enterprise Products Partners L.P.,
63,Safeway Inc.,
64,Cisco Systems Inc.,
65,Sears Holdings Corporation,
66,The Walt Disney Company,
67,Johnson Controls Inc.,
68,Morgan Stanley,
69,Sysco Corporation,
70,FedEx Corporation,
71,Abbott Laboratories,
72,E.I. du Pont de Nemours and Company,
73,Google Inc.,
74,Hess Corporation,
75,Supervalu Inc.,
76,United Continental Holdings Inc.,
77,Honeywell International Inc.,
78,CHS Inc.,
79,Humana Inc.,
80,The Goldman Sachs Group Inc.,
81,Ingram Micro Inc.,
82,Oracle Corporation,
83,Delta Air Lines, Inc.
84,Liberty Mutual Holding Company Inc.,
85,World Fuel Services Corporation,
86,New York Life Insurance Company,
87,Plains All American Pipeline L.P.,
88,Teachers Insurance and Annuity Association College Retiremen,
89,Aetna Inc.,
90,Sprint Nextel Corporation,
91,News Corporation,
92,General Dynamics Corporation,
93,The Allstate Corporation,
