Rank,Title
1,Exxon Mobil Corporation
2,WalMart Stores Inc.
3,Chevron Corporation
4,ConocoPhillips
5,General Electric Company
6,General Motors Corporation
7,Ford Motor Company
8,AT&T Inc.
9,Hewlett-Packard Company
10,Valero Energy Corporation
11,Bank of America Corporation
12,Citigroup Inc.
13,Berkshire Hathaway Inc.
14,International Business Machines Corporation
15,McKesson Corporation
16,J.P. Morgan Chase & Co.
17,Verizon Communications Inc.
18,Cardinal Health Inc.
19,CVS Caremark Corporation
20,The Procter & Gamble Company
21,UnitedHealth Group Incorporated
22,The Kroger Company
23,Marathon Oil Corporation
24,Costco Wholesale Corporation
25,The Home Depot Inc.
26,AmerisourceBergen Corp.
27,Archer-Daniels-Midland Company
28,Target Corporation
29,Johnson & Johnson
30,Morgan Stanley
31,State Farm Insurance Cos.
32,WellPoint Inc.
33,Dell Inc.
34,The Boeing Company
35,Microsoft Corporation
36,Walgreen Co.
37,United Technologies Corporation
38,The Dow Chemical Company
39,MetLife Inc.
40,The Goldman Sachs Group Inc.
41,Wells Fargo & Company
41,Sunoco Inc.
43,United Parcel Service Inc.
44,Caterpillar Inc.
45,Medco Health Solutions Inc.
46,Pfizer Inc.
47,Lowe’s Companies Inc.
48,Time Warner Inc.
49,Sears Holdings Corporation
50,Safeway Inc.
51,Supervalu Inc.
52,PepsiCo Inc.
53,Kraft Foods Inc.
54,Lockheed Martin Corporation
55,Hess Corporation
56,Best Buy Co. Inc.
57,Cisco Systems Inc.
58,Johnson Controls Inc.
59,FedEx Corporation
60,The Walt Disney Company
61,Intel Corporation
62,Sysco Corporation
63,Honeywell International Inc.
64,Sprint Nextel Corporation
65,Enterprise GP Holdings L.P.
66,GMAC LLC
67,Ingram Micro Inc.
68,Comcast Corporation
69,Northrop Grumman Corporation
70,News Corporation
71,Apple  Inc.
72,CHS Inc.
73,The Coca-Cola Company
74,American Express Company
75,E.I. du Pont de Nemours and Company
76,New York Life Insurance Company
77,Aetna Inc.
78,Motorola Inc.
79,Plains All American Pipeline L.P.
80,Abbott Laboratories
81,The Allstate Corporation
82,Teachers Insurance and Annuity Association College Retiremen
83,General Dynamics Corporation
84,Prudential Financial Inc.
85,Humana Inc.
86,Liberty Mutual Holding Company Inc.
87,Deere & Company
88,HCA Inc
89,Tyson Foods Inc.
90,Alcoa Inc.
91,Tesoro Corporation
92,Murphy Oil Corporation
93,Philip Morris International Inc.
94,Emerson Electric Co.
95,3M Company
96,Macy’s Inc.
97,International Paper Company
98,Occidental Petroleum Corporation
99,The Travelers Companies Inc.
100,Rite Aid Corporation
101,Publix Super Markets Inc.
102,Tech Data Corporation
103,Merck & Co. Inc.
104,AMR Corporation
105,United States Steel Corporation
106,Nucor Corporation
107,McDonald’s Corporation
108,Raytheon Company
109,Staples Inc.
110,Wyeth
111,Delta Air Lines Inc.
112,Fannie Mae
113,Oracle Corporation
114,Fluor Corporation
115,Express Scripts Inc.
116,Coca-Cola Enterprises Inc.
117,Google Inc.
118,Northwestern Mutual Life Insurance Company
119,Manpower Inc.
120,Bristol-Myers Squibb Company
121,Delphi Corporation
122,Eli Lilly and Company
123,UAL Corporation
124,Nationwide Mutual Insurance Co.
125,Constellation Energy Group Inc.
126,The DirecTV Group Inc.
127,The Goodyear Tire & Rubber Company
128,Kimberly-Clark Corporation
129,U.S. Bancorp
130,Amazon.Com Inc.
131,The TJX Companies Inc.
132,CIGNA Corporation
133,Whirlpool Corporation
134,Exelon Corporation
135,Massachusetts Financial Group
136,Nike Inc.
137,World Fuel Services Corporation
138,Schering-Plough Corporation
139,J.C. Penney Company Inc.
140,International Assets Holding Corporation
141,Halliburton Company
142,Burlington Northern Santa Fe Corp.
143,Union Pacific Corporation
144,Avnet Inc.
145,Capital One Financial Corporation
